765,3270000,0.8327,564
764,1670000,0.72873,586.4
820,2110000,1.3868,659
704,2310000,0.83893,532.15
645,3520000,0.36789,435.65
547.8,4300000,0.58571,380.81
754,1790000,0.91337,585.25
751,3860000,0.65724,532
653,2780000,0.61547,472.05
549.8,2530000,0.33781,379.99
520,5750000,0.20051,321
772,3830000,0.81882,561
792,3200000,0.3987,543.15
601,3010000,0.3715,411.85
732.4,1810000,0.6881,553.6
780,1560000,0.73331,600.457968
762,1780000,0.91584,592.9692
849,2930000,0.94549,633.65
587.95,2840000,0.39999,407.45
546,3360000,0.39437,372.25
838.8,5890000,0.48584,559.15
591,2530000,0.35302,409.87
730.3,3410000,0.505,501
775,3230000,0.44771,536.15
648,3120000,0.4209,447.15
482,5190000,0.27213,304.71
774,2530000,1.2365,606.15
530.6,3030000,0.36876,363.23
675,1680000,0.6174,508.62
530,4250000,0.24562,341.15
487.2,6000000,0.25555,304.9
732,3460000,0.47149,506.65
666,3010000,0.35357,455.15
607.5,2720000,0.3144,414.7
618,2540000,0.53959,444.65
536.4,5470000,0.2219,334.33
698,4460000,1.0473,517
507.6,3030000,0.30126,341.88
456.94,3680000,0.28248,301.05
536.4,2950000,0.26787,359.21
754,3570000,0.53512,527
476.25,3800000,0.277,312.2
400.55,4460000,0.21156,254.55
743,1930000,0.89828,571.85
688,2310000,0.60699,504.07
804,4380000,0.57944,557.15
528,2870000,0.31045,358.46
657,3290000,0.34874,444.75
660,2970000,0.26741,442.3
695,3340000,0.23861,458
733,6100000,0.5598,493
479,3740000,0.083652,299.11
662,3030000,0.63538,475.65
708.6,3910000,1.5946,562.04
645.6,4250000,0.35017,426.73
837,3680000,0.29942,553.93246
419.5,4020000,0.18449,266.9
698,3590000,0.42029,476.15
720,3650000,0.33526,480.77
490,3830000,0.18744,314
523.1,3200000,0.38832,357.05
632,3680000,0.28042,416.15
763,1640000,0.95353,599.35
559.6,3710000,0.51427,388.45
790,1480000,0.77987,614.43
509.4,2930000,0.31623,345.95
693.15,4000000,0.47224,473.57
701.55,5200000,0.47499,469.02
805,1990000,0.52078,589.130929
730,3580000,1.1776,557
699,5310000,0.37752,457.15
426.15,4250000,0.18706,269.14
499.15,5490000,0.18775,308.15
623,3760000,0.45458,425.92
593,2380000,0.40512,417.8
605,3030000,0.78072,445.15
584,3880000,0.37817,391.67
815,1270000,1.1046,663.219365
471.2,4410000,0.18937,296.97
505,5170000,0.32651,326.45
645,4660000,0.29778,417.29
844,4990000,0.61723,583.15
568,3440000,0.41451,388.15
686,6910000,0.35771,435.15
873,2900000,0.48567,615.18
606,3600000,0.76835,441.05
604.2,3820000,0.24084,391.94
628,2540000,0.5337,451.25
842,3400000,0.70921,610
456.15,5620000,0.28479,289.73
417.9,4000000,0.19484,266.25
723,1400000,0.7174,560.01
778,1110000,0.942,629.65
574.6,2490000,0.31361,395.44
610.05,2680000,0.33809,419.34
594.6,2290000,0.44346,423.97
557,6470000,0.20639,341.2
689,2450000,0.39002,483.65
771,7800000,0.41238,493
665,2880000,0.41396,461.59
668,2880000,0.33955,456.61
772,3600000,0.34161,517.83
804,4380000,0.57978,557
738,1400000,0.93639,588
768,3900000,0.89842,564
611,7170000,0.20945,370.1
400.1,5370000,0.20022,248.31
779.2,1380000,0.81232,610.5
619.85,2370000,0.51783,447.15
579,2300000,0.39273,408.36
665,3440000,0.96892,496.15
305.32,4870000,0.099493,184.55
577,3250000,0.34324,390.15
936,2610000,0.50742,667.95
674.8,1750000,0.60735,505.93
659,3470000,0.34116,443.022158
553.231,3840000,0.333319,367.55
641,3610000,0.32604,428.25
996,1710000,0.72846,760
497.1,3290000,0.24654,328.35
606,4970000,0.19199,378.05
604,2130000,0.44198,433.02
671,3020000,0.4066,463.19
845,2500000,0.9608,642.09
694.25,6130000,0.44346,454.99
695,5860000,1.1298,511.15
646.15,4660000,0.301,418.5
563.1,4410000,0.58828,390.81
646,2810000,0.43437,450.65
504,3210000,0.28512,336.63
556,3180000,0.35497,377.839081
480,3290000,0.22846,314.4
711,3460000,0.35081,479.45
568.7,2490000,0.39955,398.83
481.2,4170000,0.28992,313.33
543.7,3710000,0.48197,375.15
407.8,3640000,0.18352,261.43
498,5020000,0.28488,320
818,2720000,0.73007,603
775,3800000,0.6291,548.15
623,3270000,0.55993,440.15
627,2580000,0.56935,452.75
652,2150000,0.65578,484.45
721,5620000,0.41005,472.66
588.1,3900000,0.57483,410.95
631,3210000,0.32741,425.56
707,1440000,0.93362,559.65
570.1,3970000,0.27136,371.61
497.7,3040000,0.27915,333.41
652.5,2410000,0.49785,467.15
